id,vocab,meaning,pronounce
C333,毛,"Fur, Hair ",け
C336,父,"Father, Dad",ちち
C235,お父さん,"Father, Dad, Papa",おとうさん
C338,牛,"Cow, Bull, Ox",うし
C266,冬,Winter,ふゆ
C274,北,North,きた
C279,半,Half,はん
C285,古い,"Old, Ancient, Out-Of-Date",ふるい
C247,中古,"Secondhand, Used ",ちゅうこ
C244,一台,One Machine,いちだい
C250,二台,Two Machines,にだい
C251,五台,Five Machines,ごだい
C276,十台,Ten Machines,じゅうだい
C289,外,Outside,そと
C292,外人,"Foreigner, Outsider ",がいじん
C306,市,City,し
C307,市立,"Municipal, City",しりつ
C238,シアトル市,"Seattle, City Of Seattle","しあとるし, シアトルし"
C312,広い,"Wide, Spacious",ひろい
C330,母,"Mother, Mom",はは
C234,お母さん,"Mother, Mom",おかあさん
C346,用いる,"To Utilize, To Use",もちいる
C349,矢,Arrow,や
C252,人生,"One's Life, Human Life, Life",じんせい
C264,内,"Inside, Within",うち
C233,〜台,"Big Machine Counter, Machine Counter, Number Of Machines",だい
C232,〜人,"Number Of People, People, Counter For People",にん
C302,少女,"Girl, Young Lady ",しょうじょ
C246,万,Ten Thousand,まん
C345,用,"Task, Use, Duty, Service, Business, Purpose",よう
C293,大人しい,"Obedient, Quiet, Calm",おとなしい
C321,戸,"Japanese Style Door, Door",と
C298,女の人,Woman,おんなのひと
C9080,元パートナー,"Ex-Partner, Former Partner ","もとぱーとなー, もとパートナー"
C392,休み,"Rest, Break, Vacation, Holiday",やすみ
C393,休む,"To Rest, To Take Time Off",やすむ
C395,休止,"Suspension, Pause",きゅうし
C394,休日,Holiday,きゅうじつ
C401,先ず,"First Of All, To Start With, Firstly, To Begin With",まず
C399,先,"Tip, Ahead, First, Future",さき
C403,先月,Last Month,せんげつ
C400,先々月,"Month Before Last, The Month Before Last ",せんせんげつ
C402,先日,"The Other Day, A Few Days Ago, Other Day ",せんじつ
C404,先生,"Teacher, Sensei, Doctor ",せんせい
C419,名人,"Expert, Master",めいじん
C420,名字,"Surname, Last Name, Family Name",みょうじ
C433,字,"Character, Kanji Character, Letter, Symbol ",じ
C429,太字,"Bold Letter, Bold, Bold Character, Bold Text, Boldface",ふとじ
C456,文字,"Letter (Of The Alphabet), Character, Letter, Text ",もじ
C359,一文字,Straight Line,いちもんじ
C530,２０１１年,"Year 2011, 2011, The Year 2011",にせんじゅういちねん
C450,年内,"By The End Of The Year, Before The End Of This Year, Within The Year",ねんない
C449,年中,"Year Round, All Year, Whole Year, Throughout The Year",ねんじゅう
C357,一年生,First Year Student,いちねんせい
C440,少年,"Boy, Young Boy, Juvenile, Youth",しょうねん
C412,去年,Last Year,きょねん
C459,早い,"Early, Fast, Quick",はやい
C458,早々,"As Soon As, Just After, Immediately After, Quickly, Early","そうそう, はやばや"
C467,気,"Spirit, Energy",き
C468,気に入る,"To Take A Liking, To Be Pleased, To Be Happy",きにいる
C361,一気,"One Breath, One Go, One Sitting",いっき
C469,気分,"Feeling, Mood",きぶん
C382,人気,"Popular, Popularity ",にんき
C397,元気,"Energy, Health, Energetic, Healthy",げんき
C428,天気,Weather,てんき
C461,本気,"Serious, Seriousness",ほんき
